06/11/19,PavingAndPotholes,Data Release: Paving and Potholes,https://controller.phila.gov/philadelphia-audits/data-release-paving-and-potholes/
01/23/20,MappingStructuralRacism,Mapping the Legacy of Structural Racism in Philadelphia,https://controller.phila.gov/philadelphia-audits/mapping-the-legacy-of-structural-racism-in-philadelphia/
01/23/20,AntiViolenceSpending,Data Release: FY20 Violence Reduction Spending,https://controller.phila.gov/philadelphia-audits/data-release-fy20-violence-reduction-spending/
04/27/20,FiscalImpactCOVID19,Estimates of the Impact of COVID-19 on the City of Philadelphiaâ€™s Tax Revenues,https://controller.phila.gov/philadelphia-audits/covid19-fiscal-impact/
05/05/20,FY21RevisedBudgetViz,Interactive: The Revised FY20-FY25 Budget,https://controller.phila.gov/philadelphia-audits/revised-fy21-fy25-budget/#/
7/24/20,FY21BudgetViz,Interactive: The Adopted FY21 Budget,https://controller.phila.gov/philadelphia-audits/interactive-fy21-budget/
09/15/20,GunViolenceDashboard,Interactive: Mapping Philadelphia's Gun Violence Crisis,https://controller.phila.gov/philadelphia-audits/mapping-gun-violence
07/07/21,SodaTaxDashboard,Data Release: Beverage Tax Revenue and Expenditures,https://controller.phila.gov/philadelphia-audits/data-release-beverage-tax/
04/22/21,BudgetComparisonTool,Interactive: The Proposed FY22 Budget,https://controller.phila.gov/philadelphia-audits/the-proposed-fy22-budget/#/
07/09/21,BudgetComparisonTool,Interactive: The Adopted FY22 Budget,https://controller.phila.gov/philadelphia-audits/the-adopted-fy22-budget/#/
08/19/21,AntiViolenceFundingExplorerFY22,Data Release: The FY22 Anti-Violence Budget,https://controller.phila.gov/philadelphia-audits/fy22-anti-violence-budget/#/